ID,Age,Gender,Race,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzlesPred,SelfTeamCollabPred,Teammate,Morality,Ability,Sociability,FirstMeet,Interact,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzlesPred,TeamCollabPred,Longest,Frequently,Leader,Influence
11D,36,2,5,11,9.0,6.75,8.5,6,8,11B,5.0,5.0,5.0,4,6,5,5,5,5,5,5,5,5,5,5,11E,11E,11A,11E
11D,36,2,5,11,9.0,6.75,8.5,6,8,11C,6.5,7.75,7.0,6,5,10,3,8,1,1,6,6,6,9,6,11E,11E,11A,11E
11D,36,2,5,11,9.0,6.75,8.5,6,8,11E,8.75,8.0,6.0,6,1,8,8,6,8,8,6,6,2,10,6,11E,11E,11A,11E
30A,28,2,6,30,8.5,9.0,6.5,9,7,30B,9.25,9.0,8.25,5,2,9,8,7,9,7,8,8,8,8,8,30C,30C,30A,30A
30A,28,2,6,30,8.5,9.0,6.5,9,7,30C,9.5,7.25,9.75,6,1,10,10,8,10,10,10,10,8,8,8,30C,30C,30A,30A
30A,28,2,6,30,8.5,9.0,6.5,9,7,30D,5.5,7.0,7.5,5,4,8,6,4,4,3,7,5,5,10,6,30C,30C,30A,30A
30A,28,2,6,30,8.5,9.0,6.5,9,7,30E,9.25,6.0,8.75,3,3,8,7,6,6,6,6,6,6,8,9,30C,30C,30A,30A
30B,26,2,2,30,8.75,6.75,8.0,6,6,30A,8.75,7.0,10.0,5,1,10,10,8,10,10,9,10,8,8,9,30C,30A,30D,30C
30B,26,2,2,30,8.75,6.75,8.0,6,6,30C,9.25,7.5,9.5,6,6,9,5,6,2,2,7,4,5,8,9,30C,30A,30D,30C
30B,26,2,2,30,8.75,6.75,8.0,6,6,30E,8.75,7.0,9.5,4,1,10,9,7,8,8,8,8,8,8,8,30C,30A,30D,30C
30B,26,2,2,30,8.75,6.75,8.0,6,6,30D,5.0,6.25,4.25,4,6,3,3,1,0,0,2,2,1,6,3,30C,30A,30D,30C
30D,28,2,2,30,8.5,7.25,7.5,6,6,30A,9.25,7.0,8.25,5,2,9,6,6,7,6,8,6,7,9,9,30B,30A,30A,30A
30D,28,2,2,30,8.5,7.25,7.5,6,6,30B,7.25,7.0,6.5,5,4,3,2,5,1,1,3,2,6,7,7,30B,30A,30A,30A
30D,28,2,2,30,8.5,7.25,7.5,6,6,30C,5.0,5.0,5.0,1,6,3,0,2,0,0,3,0,2,6,6,30B,30A,30A,30A
30D,28,2,2,30,8.5,7.25,7.5,6,6,30E,8.0,7.5,7.5,5,4,7,3,6,1,1,6,3,5,8,8,30B,30A,30A,30A
27A,20,2,"2,5",27,9.0,9.0,7.0,3,7,27B,10.0,10.0,8.5,4,1,10,10,10,10,10,8,8,8,9,10,27B,27B,27B,27B
27A,20,2,"2,5",27,9.0,9.0,7.0,3,7,27E,8.25,7.75,8.25,2,2,7,6,4,2,2,7,6,3,7,7,27B,27B,27B,27B
27A,20,2,"2,5",27,9.0,9.0,7.0,3,7,27C,8.5,7.75,8.5,4,2,8,7,5,7,7,7,7,6,6,9,27B,27B,27B,27B
27A,20,2,"2,5",27,9.0,9.0,7.0,3,7,27D,9.0,10.0,7.75,4,2,9,9,7,7,7,9,9,7,10,10,27B,27B,27B,27B
30E,25,2,2,30,9.75,6.5,6.25,6,7,30A,8.5,7.75,7.5,3,3,8,6,6,8,3,6,6,4,7,8,30B,30B,30A,30A
30E,25,2,2,30,9.75,6.5,6.25,6,7,30B,7.75,6.25,9.5,4,1,9,8,6,10,8,7,7,8,6,10,30B,30B,30A,30A
30E,25,2,2,30,9.75,6.5,6.25,6,7,30C,9.0,7.75,7.25,2,6,8,7,7,3,3,6,1,4,8,10,30B,30B,30A,30A
30E,25,2,2,30,9.75,6.5,6.25,6,7,30D,5.5,8.0,5.0,4,6,3,0,2,0,0,1,3,1,7,5,30B,30B,30A,30A
25E,22,1,"4,5",25,9.5,9.0,6.5,10,8,25D,8.0,6.0,8.5,4,4,8,4,4,4,2,5,3,3,7,7,25B,25B,25A,25C
25E,22,1,"4,5",25,9.5,9.0,6.5,10,8,25C,6.25,9.0,4.0,4,3,7,5,5,6,5,6,5,5,8,8,25B,25B,25A,25C
25E,22,1,"4,5",25,9.5,9.0,6.5,10,8,25B,8.5,8.0,7.0,4,3,9,9,8,9,9,9,8,8,8,8,25B,25B,25A,25C
25E,22,1,"4,5",25,9.5,9.0,6.5,10,8,25A,6.5,7.5,8.0,4,4,7,4,4,3,2,6,3,4,8,8,25B,25B,25A,25C
25D,20,2,2,25,9.75,4.0,8.5,4,7,25A,10.0,5.0,10.0,4,4,10,5,5,4,4,8,2,5,8,8,25C,25C,25B,25C
25D,20,2,2,25,9.75,4.0,8.5,4,7,25C,10.0,10.0,10.0,4,2,10,10,10,10,10,10,10,10,10,10,25C,25C,25B,25C
25D,20,2,2,25,9.75,4.0,8.5,4,7,25B,10.0,10.0,10.0,4,2,10,8,8,10,10,10,8,8,10,10,25C,25C,25B,25C
25D,20,2,2,25,9.75,4.0,8.5,4,7,25E,7.0,5.0,9.0,4,3,10,5,5,5,5,8,5,5,10,10,25C,25C,25B,25C
32D,25,2,2,32,7.5,7.75,7.5,8,9,32A,9.75,9.5,8.25,4,2,10,8,7,10,10,8,7,7,10,10,32A,32E,32A,32B
32D,25,2,2,32,7.5,7.75,7.5,8,9,32E,7.25,9.5,9.75,4,2,10,9,8,10,7,9,8,8,8,10,32A,32E,32A,32B
32D,25,2,2,32,7.5,7.75,7.5,8,9,32B,8.25,8.5,8.5,4,2,10,7,6,8,7,8,8,7,9,10,32A,32E,32A,32B
32D,25,2,2,32,7.5,7.75,7.5,8,9,32C,9.0,7.75,9.5,4,3,10,6,5,7,4,7,7,7,10,10,32A,32E,32A,32B
32A,25,2,2,32,10.0,7.25,8.5,6,9,32B,9.75,7.25,9.75,4,2,10,7,6,7,7,10,7,6,7,10,32B,32B,32B,32B
32A,25,2,2,32,10.0,7.25,8.5,6,9,32C,9.75,7.0,10.0,4,2,10,5,5,5,5,10,5,5,7,10,32B,32B,32B,32B
32A,25,2,2,32,10.0,7.25,8.5,6,9,32D,9.75,7.75,9.75,4,2,10,7,5,6,8,9,7,5,8,10,32B,32B,32B,32B
32A,25,2,2,32,10.0,7.25,8.5,6,9,32E,9.75,6.5,9.75,4,2,10,8,5,5,6,10,8,5,7,10,32B,32B,32B,32B
32C,25,2,2,32,8.25,5.25,7.5,8,8,32A,9.0,8.5,9.0,4,2,10,8,8,7,5,8,7,7,9,9,32B,32B,32B,32B
32C,25,2,2,32,8.25,5.25,7.5,8,8,32B,9.0,9.25,8.75,4,1,9,8,6,8,5,9,9,8,9,9,32B,32B,32B,32B
32C,25,2,2,32,8.25,5.25,7.5,8,8,32D,9.0,8.0,9.0,4,2,9,8,7,7,5,9,9,9,9,9,32B,32B,32B,32B
32C,25,2,2,32,8.25,5.25,7.5,8,8,32E,9.0,9.0,9.0,4,2,9,7,8,7,5,9,9,9,9,9,32B,32B,32B,32B
11E,36,1,5,11,7.5,6.75,5.25,5,4,11A,7.5,6.75,7.0,6,4,6,6,4,2,3,5,3,2,6,8,11A,11D,11A,11A
11E,36,1,5,11,7.5,6.75,5.25,5,4,11B,5.0,5.0,5.0,1,6,5,0,5,0,0,0,0,0,5,5,11A,11D,11A,11A
11E,36,1,5,11,7.5,6.75,5.25,5,4,11C,7.5,7.0,7.0,6,4,7,3,2,0,0,5,3,1,7,6,11A,11D,11A,11A
11E,36,1,5,11,7.5,6.75,5.25,5,4,11D,7.75,5.75,9.0,6,1,7,7,3,8,9,7,6,4,6,7,11A,11D,11A,11A
11A,38,2,5,11,9.75,7.25,7.5,8,8,11E,9.25,9.25,6.75,6,5,10,5,6,5,5,5,5,5,10,8,11E,11E,11A,11E
11A,38,2,5,11,9.75,7.25,7.5,8,8,11D,6.25,6.5,6.0,6,5,8,6,5,5,5,6,6,6,9,8,11E,11E,11A,11E
11A,38,2,5,11,9.75,7.25,7.5,8,8,11C,7.75,7.75,6.75,6,4,10,6,5,5,6,7,7,5,9,8,11E,11E,11A,11E
11A,38,2,5,11,9.75,7.25,7.5,8,8,11B,5.0,5.0,6.0,3,6,8,4,5,3,3,5,3,3,5,5,11E,11E,11A,11E
32B,25,2,2,32,9.25,9.0,9.75,7,9,32A,9.75,8.75,10.0,4,2,10,8,8,10,7,8,9,7,10,10,32C,32C,32A,32A
32B,25,2,2,32,9.25,9.0,9.75,7,9,32E,9.5,8.5,10.0,4,2,9,8,6,9,6,8,7,6,10,10,32C,32C,32A,32A
32B,25,2,2,32,9.25,9.0,9.75,7,9,32D,10.0,9.0,9.5,4,2,10,8,4,6,4,9,7,4,10,10,32C,32C,32A,32A
32B,25,2,2,32,9.25,9.0,9.75,7,9,32C,10.0,8.75,9.5,4,1,10,9,6,9,8,9,9,6,10,10,32C,32C,32A,32A
32E,23,2,2,32,7.75,6.25,7.0,6,7,32C,8.25,8.0,8.5,4,2,7,6,4,4,2,6,5,3,7,8,32A,32D,32A,32B
32E,23,2,2,32,7.75,6.25,7.0,6,7,32B,7.0,9.25,7.75,4,2,8,6,3,6,4,6,4,3,8,8,32A,32D,32A,32B
32E,23,2,2,32,7.75,6.25,7.0,6,7,32D,8.75,8.25,8.75,4,2,8,6,5,6,5,6,4,4,9,9,32A,32D,32A,32B
32E,23,2,2,32,7.75,6.25,7.0,6,7,32A,9.5,9.25,9.5,4,2,8,6,5,6,6,7,5,4,9,9,32A,32D,32A,32B
31C,20,2,2,31,8.75,8.0,7.25,7,5,31A,8.5,7.25,8.5,4,1,9,8,5,8,8,7,7,5,9,8,31A,31A,31A,31C
31C,20,2,2,31,8.75,8.0,7.25,7,5,31B,8.5,7.25,9.0,2,1,9,7,4,7,7,7,7,5,7,9,31A,31A,31A,31C
31C,20,2,2,31,8.75,8.0,7.25,7,5,31D,5.0,5.0,5.0,2,5,7,0,5,0,0,5,0,5,7,7,31A,31A,31A,31C
31C,20,2,2,31,8.75,8.0,7.25,7,5,31E,5.0,5.0,5.0,2,4,5,0,2,0,0,5,0,2,7,7,31A,31A,31A,31C
